class,m,mistakes,beta,lambd
0,10,373,0.0001,0.2
0,20,239,0.0001,0.02
0,30,193,0.0001,0.02
0,40,164,0.0001,0.0002
0,50,151,0.0001,0.002
0,60,149,0.0001,0.002
0,70,147,0.0001,0.002
0,80,149,0.0001,0.0002
0,90,150,0.0001,0.002
0,100,146,0.0001,0.02
0,200,156,0.0001,0.2
0,300,156,0.01,0.2
0,400,155,0.0001,0.2
0,500,155,0.0001,0.2
0,700,155,0.0001,0.2
2,10,772,0.01,0.02
2,20,601,0.01,0.0002
2,30,556,0.01,0.2
2,40,506,0.1,0.2
2,50,492,0.1,0.2
2,60,480,0.0001,0.2
2,70,475,0.0001,0.2
2,80,470,0.01,0.2
2,90,466,0.0001,0.02
2,100,461,0.0001,0.2
2,200,458,0.0001,0.2
2,300,452,0.0001,0.2
2,400,452,0.01,0.2
2,500,451,0.0001,0.2
2,700,451,0.0001,0.2
4,10,901,0.01,0.002
4,20,589,0.01,0.0002
4,30,469,0.0001,0.002
4,40,427,0.0001,0.02
4,50,405,0.0001,0.02
4,60,390,0.0001,0.02
4,70,389,0.0001,0.02
4,80,388,0.001,0.002
4,90,384,0.001,0.02
4,100,385,0.0001,0.0002
4,200,375,0.0001,0.02
4,300,382,0.001,0.02
4,400,379,0.001,0.02
4,500,375,0.001,0.02
4,700,375,0.001,0.02
5,10,1585,0.0001,0.0002
5,20,1170,0.1,0.02
5,30,1015,0.0001,0.2
5,40,931,0.0001,0.0002
5,50,855,0.01,0.02
5,60,831,0.01,0.002
5,70,814,0.01,0.02
5,80,803,0.01,0.02
5,90,804,0.01,0.0002
5,100,801,0.01,0.0002
5,200,788,0.1,0.02
5,300,785,0.01,0.02
5,400,789,0.01,0.02
5,500,772,0.01,0.02
5,700,772,0.01,0.02
8,10,1036,0.0001,0.2
8,20,865,0.0001,0.2
8,30,810,0.01,1.0
8,40,798,0.0001,0.2
8,50,783,0.0001,1.0
8,60,785,0.01,0.2
8,70,776,0.01,0.2
8,80,770,0.1,0.2
8,90,774,0.0001,0.2
8,100,767,0.1,0.2
8,200,767,0.0001,0.2
8,300,757,0.01,0.2
8,400,762,0.01,0.2
8,500,762,0.01,0.2
8,700,762,0.01,0.2
