class,m,mistakes,beta,lambd
0,10,573,0.01,0.2
0,20,571,0.0001,0.2
0,30,571,0.0001,0.2
0,40,569,0.01,0.2
0,50,568,0.01,0.2
0,60,567,0.01,0.2
0,70,567,0.01,0.2
0,80,569,0.01,0.2
0,90,570,0.01,0.2
0,100,567,0.1,0.2
0,200,570,0.0001,0.2
0,300,571,0.0001,0.2
0,400,571,0.0001,0.2
0,500,571,0.0001,0.2
2,10,769,0.01,0.002
2,20,757,0.01,0.0002
2,30,762,0.0001,0.2
2,40,761,0.0001,0.02
2,50,766,0.01,0.2
2,60,767,0.01,0.002
2,70,766,0.0001,0.2
2,80,772,0.0001,1.0
2,90,772,0.0001,1.0
2,100,771,0.01,0.2
2,200,771,0.0001,1.0
2,300,771,0.0001,1.0
2,400,771,0.0001,1.0
2,500,771,0.0001,1.0
4,10,780,0.01,0.0002
4,20,752,0.0001,0.002
4,30,754,0.0001,0.002
4,40,744,0.0001,0.0002
4,50,736,0.01,0.0002
4,60,741,0.01,0.0002
4,70,752,0.01,0.0002
4,80,752,0.01,0.02
4,90,747,0.01,0.02
4,100,750,0.0001,0.0002
4,200,746,0.01,0.02
4,300,746,0.01,0.02
4,400,748,0.01,0.02
4,500,748,0.01,0.02
5,10,686,0.0001,0.02
5,20,681,0.1,0.0002
5,30,680,0.1,0.0002
5,40,690,0.001,1.0
5,50,688,0.01,1.0
5,60,688,0.01,1.0
5,70,688,0.01,1.0
5,80,692,0.001,1.0
5,90,692,0.01,1.0
5,100,692,0.01,1.0
5,200,692,0.01,1.0
5,300,692,0.01,1.0
5,400,692,0.01,1.0
5,500,692,0.01,1.0
8,10,591,0.01,0.02
8,20,579,0.0001,0.2
8,30,580,0.01,0.02
8,40,585,0.0001,0.2
8,50,579,0.0001,0.2
8,60,577,0.0001,0.2
8,70,571,0.0001,0.2
8,80,570,0.0001,0.2
8,90,571,0.0001,0.2
8,100,575,0.0001,0.2
8,200,569,0.0001,0.2
8,300,570,0.0001,0.2
8,400,570,0.0001,0.2
8,500,570,0.0001,0.2
