class,rank,mistakes,alpha,epsilon
0,10,299,0.1,2.0
0,20,272,0.0001,2.0
0,30,245,0.1,2.0
0,40,220,0.01,2.0
0,50,204,0.0001,2.0
0,60,194,0.01,2.0
0,70,185,0.01,1.0
0,80,182,0.0001,1.0
0,90,175,0.0001,1.0
0,100,171,0.01,1.0
0,200,169,0.0001,1.0
0,300,169,0.0001,1.0
0,400,156,0.0001,0.2
0,500,155,0.0001,0.2
0,700,155,0.0001,0.2
2,10,677,1.0,2.0
2,20,643,1.0,2.0
2,30,600,1.0,2.0
2,40,558,0.01,2.0
2,50,552,0.1,2.0
2,60,546,0.0001,2.0
2,70,542,1.0,2.0
2,80,533,0.0001,1.0
2,90,536,0.01,1.0
2,100,515,0.01,1.0
2,200,510,0.0001,1.0
2,300,474,0.0001,0.2
2,400,452,0.0001,0.2
2,500,450,0.0001,0.2
2,700,451,0.0001,0.2
4,10,564,0.0001,2.0
4,20,552,0.0001,2.0
4,30,528,0.1,2.0
4,40,506,0.0001,1.0
4,50,490,0.001,1.0
4,60,481,0.0001,1.0
4,70,467,0.0001,1.0
4,80,460,0.0001,1.0
4,90,453,0.0001,1.0
4,100,446,0.0001,1.0
4,200,446,0.01,1.0
4,300,390,0.001,0.2
4,400,381,0.001,0.2
4,500,384,0.001,0.2
4,700,384,0.001,0.2
5,10,1018,0.0001,2.0
5,20,1056,0.0001,2.0
5,30,1007,0.0001,1.0
5,40,951,0.01,1.0
5,50,936,0.1,1.0
5,60,929,0.0001,1.0
5,70,907,0.01,1.0
5,80,911,0.0001,1.0
5,90,887,0.1,1.0
5,100,877,0.01,1.0
5,200,872,0.01,1.0
5,300,793,0.0001,0.2
5,400,787,0.0001,0.2
5,500,789,0.0001,0.2
5,700,789,0.0001,0.2
8,10,982,0.1,2.0
8,20,895,0.0001,2.0
8,30,858,1.0,2.0
8,40,837,1.0,2.0
8,50,823,0.0001,2.0
8,60,818,0.1,1.0
8,70,796,0.01,1.0
8,80,788,0.01,1.0
8,90,769,0.1,1.0
8,100,776,0.1,1.0
8,200,769,0.1,1.0
8,300,763,0.1,1.0
8,400,754,0.001,0.2
8,500,762,0.01,0.2
8,700,762,0.01,0.2
