class,rank,mistakes,alpha,epsilon
0,10,583,0.0001,1.0
0,20,577,0.1,1.0
0,30,575,0.1,1.0
0,40,576,0.1,1.0
0,50,576,0.1,1.0
0,60,576,0.1,1.0
0,70,571,0.0001,0.2
0,80,571,0.001,0.2
0,90,561,0.001,0.2
0,100,572,0.001,0.2
0,200,564,0.001,0.2
0,300,566,0.001,0.2
0,400,565,0.001,0.2
0,500,566,0.001,0.2
2,10,783,0.01,1.0
2,20,790,0.0001,1.0
2,30,782,0.01,1.0
2,40,772,0.0001,1.0
2,50,765,0.001,0.2
2,60,769,0.001,0.2
2,70,771,0.0001,1.0
2,80,767,0.001,0.2
2,90,771,0.001,1.0
2,100,765,0.001,0.2
2,200,767,0.001,0.2
2,300,771,0.0001,1.0
2,400,771,0.0001,1.0
2,500,771,0.0001,1.0
4,10,766,0.0001,1.0
4,20,762,0.0001,0.2
4,30,774,0.001,0.2
4,40,753,0.0001,0.2
4,50,756,0.0001,0.2
4,60,756,0.0001,0.2
4,70,756,0.0001,0.2
4,80,754,0.0001,0.2
4,90,752,0.0001,0.2
4,100,752,0.0001,0.2
4,200,760,0.0001,0.2
4,300,760,0.0001,0.2
4,400,760,0.0001,0.2
4,500,760,0.0001,0.2
5,10,680,0.0001,1.0
5,20,688,1.0,2.0
5,30,690,0.001,1.0
5,40,690,0.001,1.0
5,50,689,0.001,1.0
5,60,695,0.0001,1.0
5,70,692,0.0001,1.0
5,80,694,0.01,1.0
5,90,692,0.01,1.0
5,100,692,0.01,1.0
5,200,690,0.01,0.2
5,300,690,0.01,0.2
5,400,691,0.01,0.2
5,500,690,0.01,0.2
8,10,602,0.0001,1.0
8,20,605,0.1,1.0
8,30,590,0.0001,0.2
8,40,591,0.0001,0.2
8,50,582,0.0001,0.2
8,60,587,0.0001,0.2
8,70,590,0.0001,0.2
8,80,585,0.001,0.2
8,90,585,0.001,0.2
8,100,587,0.0001,0.2
8,200,585,0.001,0.2
8,300,588,0.001,0.2
8,400,588,0.001,0.2
8,500,588,0.001,0.2
